Sort Algorithm,input Size,Time Taken
Insertion Sort,100,0.09319782257080078
Merge Sort,100,0.038504600524902344
Quick Sort,100,0.055694580078125
Modified Quick Sort,100,0.0102996826171875
Insertion Sort,500,2.4876832962036133
Merge Sort,500,0.17740726470947266
Quick Sort,500,1.188492774963379
Modified Quick Sort,500,0.061893463134765625
Insertion Sort,1000,9.560394287109375
Merge Sort,1000,0.3726959228515625
Quick Sort,1000,4.967904090881348
Modified Quick Sort,1000,0.11620521545410156
Insertion Sort,2000,38.40658664703369
Merge Sort,2000,0.8265972137451172
Quick Sort,2000,18.9241886138916
Modified Quick Sort,2000,0.29120445251464844
Insertion Sort,5000,238.43917846679688
Merge Sort,5000,2.2444963455200195
Quick Sort,5000,110.86490154266357
Modified Quick Sort,5000,0.7871866226196289
Insertion Sort,10000,955.7898044586182
Merge Sort,10000,4.500007629394531
Quick Sort,10000,450.7874011993408
Modified Quick Sort,10000,1.5056133270263672
Insertion Sort,15000,2073.4163999557495
Merge Sort,15000,6.853699684143066
Quick Sort,15000,1019.471001625061
Modified Quick Sort,15000,2.413201332092285
